Video Time,Neutral,Happy,Sad,Angry,Surprised,Scared,Disgusted
00:12.0,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED,FIT_FAILED
00:12.0,0.01020502,0.8500804,0.00082373,0.000863075,0.009284239,0.000089957,0.00064958
00:12.1,0.009954777,0.8143116,0.000900662,0.000816376,0.008175866,0.000144523,0.000721525
00:12.2,0.008738146,0.7999041,0.00109195,0.000773659,0.007159155,0.000198764,0.000862229
00:12.2,0.007660242,0.7947915,0.001268328,0.000735711,0.006269237,0.000218929,0.001044736
00:12.2,0.006755667,0.807016,0.001450198,0.000655348,0.00549632,0.000204271,0.001224194
00:12.3,0.006141585,0.805535,0.002376614,0.000576218,0.004792569,0.000211662,0.001334964
00:12.4,0.006106203,0.7940742,0.003230006,0.000507616,0.004185867,0.000273529,0.00128732
00:12.4,0.006527073,0.7727567,0.00413526,0.000454533,0.003677238,0.000364777,0.001221199
00:12.4,0.007228062,0.7474827,0.004946499,0.000423648,0.003248608,0.000449819,0.001137631
00:12.5,0.007519662,0.7342113,0.006145567,0.000408263,0.002885702,0.000461714,0.001106939
00:12.6,0.009496795,0.7205481,0.006678836,0.000408549,0.002669276,0.000431952,0.001003235
00:12.6,0.01223758,0.6978198,0.007381015,0.000444875,0.002447349,0.000399745,0.000924294
00:12.7,0.03200524,0.6607823,0.008014638,0.000429906,0.002236093,0.000419488,0.000841188
00:12.7,0.05304797,0.6381109,0.008336494,0.000394227,0.002079518,0.000449764,0.000771399
00:12.8,0.08211566,0.6218141,0.008420927,0.000361662,0.002017867,0.000454997,0.000702991
00:12.8,0.09150781,0.6361845,0.008805498,0.00031749,0.002039072,0.000423698,0.000668338
00:12.9,0.0926288,0.6627967,0.008941344,0.000280178,0.002151198,0.000378521,0.000618131
00:12.9,0.100281,0.6700611,0.009975689,0.000257341,0.002155469,0.000338524,0.000613147
00:12.9,0.141331,0.6477557,0.01031386,0.000254594,0.002181363,0.000301801,0.000567133
00:13.0,0.2256411,0.5916885,0.0105714,0.000293832,0.002233292,0.000271153,0.000510342
00:13.1,0.3120737,0.5244094,0.01106699,0.000346006,0.002355471,0.000247855,0.000468961
00:13.1,0.3957381,0.4592783,0.01146964,0.000439101,0.002489964,0.000224978,0.00043756
00:13.1,0.4718195,0.3996003,0.01217055,0.000537876,0.002636079,0.000207548,0.000419209
00:13.2,0.5385488,0.3470667,0.01344424,0.000635239,0.002712967,0.000193567,0.000412738
00:13.2,0.5981917,0.3014926,0.01385794,0.000749516,0.002865245,0.000175814,0.000398573
00:13.3,0.6477908,0.262547,0.0154728,0.000878107,0.00295085,0.000158683,0.000413951
00:13.4,0.6923761,0.2277725,0.01676784,0.00102838,0.003116833,0.000145074,0.000427845
00:13.4,0.7314636,0.1972649,0.01840026,0.001224843,0.003309615,0.000133809,0.000430683
00:13.4,0.7651124,0.1710648,0.01988239,0.001514716,0.003561861,0.000120817,0.000428024
00:13.5,0.7922626,0.1482854,0.02295203,0.001778876,0.003644296,0.000108874,0.000478869
00:13.6,0.8160878,0.1283054,0.02702246,0.001986775,0.003668492,0.000099521,0.000558307
00:13.6,0.8351192,0.1129678,0.02968024,0.001869571,0.003592673,0.000094034,0.000588739
00:13.6,0.8500025,0.09899271,0.03385685,0.001800499,0.003477487,0.000091224,0.000651883
00:13.7,0.8625635,0.08664205,0.03879141,0.001762774,0.003360909,0.000089946,0.000711023
00:13.7,0.873345,0.07570416,0.0436392,0.001774279,0.003273019,0.000089352,0.000763724
00:13.8,0.8828319,0.06619934,0.04853673,0.001774963,0.003194665,0.000089043,0.00081677
